"Time","Potential"
2.626,1.249
2.628,1.243
2.630,1.231
2.632,1.240
2.634,1.243
2.636,1.246
2.638,1.246
2.640,1.234
2.642,1.237
2.644,1.237
2.646,1.240
2.648,1.243
2.650,1.243
2.652,1.243
2.654,1.237
2.656,1.234
2.658,1.240
2.660,1.237
2.662,1.240
2.664,1.234
2.666,1.234
2.668,1.234
2.670,1.234
2.672,1.234
2.674,1.234
2.676,1.225
2.678,1.231
2.680,1.228
2.682,1.231
2.684,1.234
2.686,1.228
2.688,1.228
2.690,1.228
2.692,1.225
2.694,1.228
2.696,1.234
2.698,1.225
2.700,1.218
2.702,1.221
2.704,1.228
2.706,1.231
2.708,1.234
2.710,1.228
2.712,1.221
2.714,1.221
2.716,1.225
2.718,1.228
2.720,1.228
2.722,1.228
2.724,1.212
2.726,1.221
2.728,1.228
2.730,1.228
2.732,1.225
2.734,1.228
2.736,1.221
2.738,1.218
2.740,1.218
2.742,1.221
2.744,1.225
2.746,1.212
2.748,1.218
2.750,1.218
2.752,1.218
2.754,1.225
2.756,1.221
2.758,1.209
2.760,1.215
2.762,1.212
2.764,1.212
2.766,1.218
2.768,1.212
2.770,1.206
2.772,1.206
2.774,1.212
2.776,1.215
2.778,1.218
2.780,1.215
2.782,1.209
2.784,1.212
2.786,1.212
2.788,1.215
2.790,1.212
2.792,1.212
2.794,1.209
2.796,1.206
2.798,1.209
2.800,1.206
2.802,1.209
2.804,1.209
2.806,1.206
2.808,1.206
2.810,1.206
2.812,1.206
2.814,1.209
2.816,1.206
2.818,1.206
2.820,1.203
2.822,1.206
2.824,1.206
2.826,1.209
2.828,1.197
2.830,1.206
2.832,1.206
2.834,1.200
2.836,1.206
2.838,1.197
2.840,1.194
2.842,1.194
2.844,1.197
2.846,1.200
2.848,1.203
2.850,1.200
2.852,1.197
2.854,1.188
2.856,1.194
2.858,1.200
2.860,1.197
2.862,1.203
2.864,1.194
2.866,1.194
2.868,1.197
2.870,1.197
2.872,1.197
2.874,1.200
2.876,1.194
2.878,1.191
2.880,1.194
2.882,1.194
2.884,1.197
2.886,1.185
2.888,1.197
2.890,1.194
2.892,1.191
2.894,1.197
2.896,1.200
2.898,1.182
2.900,1.194
2.902,1.194
2.904,1.197
2.906,1.197
2.908,1.191
2.910,1.194
2.912,1.182
2.914,1.191
2.916,1.194
2.918,1.197
2.920,1.197
2.922,1.185
2.924,1.188
2.926,1.191
2.928,1.194
2.930,1.197
2.932,1.197
2.934,1.191
2.936,1.194
2.938,1.191
2.940,1.197
2.942,1.194
2.944,1.197
2.946,1.194
2.948,1.188
2.950,1.188
2.952,1.194
2.954,1.197
2.956,1.194
2.958,1.194
2.960,1.191
2.962,1.188
2.964,1.200
2.966,1.200
2.968,1.182
2.970,1.188
2.972,1.194
2.974,1.191
2.976,1.197
2.978,1.197
2.980,1.194
2.982,1.182
2.984,1.191
2.986,1.194
2.988,1.194
2.990,1.194
2.992,1.194
2.994,1.182
2.996,1.188
2.998,1.194
3.000,1.197
3.002,1.197
3.004,1.191
3.006,1.188
3.008,1.191
3.010,1.194
3.012,1.197
3.014,1.197
3.016,1.185
3.018,1.191
3.020,1.194
3.022,1.194
3.024,1.197
3.026,1.194
3.028,1.194
3.030,1.188
3.032,1.188
3.034,1.188
3.036,1.194
3.038,1.188
3.040,1.182
3.042,1.188
3.044,1.188
3.046,1.197
3.048,1.197
3.050,1.188
3.052,1.188
3.054,1.194
3.056,1.194
3.058,1.197
3.060,1.197
3.062,1.197
3.064,1.188
3.066,1.191
3.068,1.194
3.070,1.191
3.072,1.194
3.074,1.194
3.076,1.185
3.078,1.185
3.080,1.185
3.082,1.188
3.084,1.191
3.086,1.182
3.088,1.182
3.090,1.182
3.092,1.185
3.094,1.188
3.096,1.185
3.098,1.182
3.100,1.182
3.102,1.182
3.104,1.188
3.106,1.194
3.108,1.182
3.110,1.182
3.112,1.185
3.114,1.188
3.116,1.194
3.118,1.194
3.120,1.185
3.122,1.182
3.124,1.185
3.126,1.188
3.128,1.188
3.130,1.191
3.132,1.191
3.134,1.185
3.136,1.185
3.138,1.191
3.140,1.191
3.142,1.194
3.144,1.188
3.146,1.188
3.148,1.188
3.150,1.188
3.152,1.194
3.154,1.194
3.156,1.182
3.158,1.185
3.160,1.182
3.162,1.182
3.164,1.188
3.166,1.182
3.168,1.182
3.170,1.182
3.172,1.179
3.174,1.182
3.176,1.185
3.178,1.182
3.180,1.170
3.182,1.182
3.184,1.182
3.186,1.185
3.188,1.188
3.190,1.185
3.192,1.179
3.194,1.179
3.196,1.182
3.198,1.182
3.200,1.185
3.202,1.185
3.204,1.170
3.206,1.179
3.208,1.182
3.210,1.182
3.212,1.182
3.214,1.185
3.216,1.179
3.218,1.179
3.220,1.179
3.222,1.182
3.224,1.182
3.226,1.173
3.228,1.176
3.230,1.173
3.232,1.176
3.234,1.182
3.236,1.182
3.238,1.170
3.240,1.176
3.242,1.173
3.244,1.179
3.246,1.182
3.248,1.182
3.250,1.158
3.252,1.173
3.254,1.179
3.256,1.182
3.258,1.182
3.260,1.179
3.262,1.179
3.264,1.182
3.266,1.182
3.268,1.182
3.270,1.182
3.272,1.182
3.274,1.176
3.276,1.176
3.278,1.182
3.280,1.179
3.282,1.179
3.284,1.179
3.286,1.173
